Temparature,Humidity ,Moisture,Nitrogen,Potassium,Phosphorous,Soil Type,Crop Type,Fertilizer Name
34,52,43,24,0,22,Black,Paddy,28-28
31,66,33,22,0,25,Clayey,Tobacco,28-28
30,59,37,40,0,0,Red,Sugarcane,Urea
36,49,33,15,13,13,Red,Cotton,17-17-17
35,64,15,8,8,31,Black,Maize,14-35-14
34,62,49,2,17,16,Clayey,Wheat,10-26-26
33,60,31,22,3,23,Loamy,Tobacco,28-28
32,69,50,12,0,38,Red,Barley,DAP
27,69,31,10,12,12,Sandy,Sugarcane,17-17-17
21,56,56,12,0,12,Sandy,Sugarcane,20-20
34,61,27,14,2,12,Black,Millets,20-20
29,50,59,13,17,12,Sandy,Barley,17-17-17
32,58,44,15,1,36,Red,Barley,DAP
31,59,30,11,18,13,Loamy,Pulses,10-26-26
24,48,45,9,1,12,Red,Pulses,20-20
29,55,60,7,9,32,Clayey,Cotton,14-35-14
33,65,48,12,0,39,Sandy,Cotton,DAP
25,61,64,14,1,15,Black,Paddy,20-20
38,70,39,41,1,1,Sandy,Millets,Urea
26,68,53,1,18,17,Sandy,Pulses,10-26-26
26,49,58,13,14,13,Sandy,Sugarcane,17-17-17
38,56,64,12,1,35,Red,Sugarcane,DAP
33,54,47,13,0,37,Red,Oil seeds,DAP
27,50,40,22,0,20,Red,Tobacco,28-28
34,59,58,12,15,14,Red,Sugarcane,17-17-17
33,57,48,13,19,19,Loamy,Barley,10-26-26
31,49,36,23,0,24,Red,Ground Nuts,28-28
23,62,52,12,1,10,Sandy,Millets,20-20
33,59,24,23,1,22,Sandy,Paddy,28-28
33,62,49,15,1,36,Red,Barley,DAP
35,55,48,38,0,1,Loamy,Pulses,Urea
27,62,48,12,17,11,Red,Sugarcane,17-17-17
33,53,52,11,13,15,Black,Ground Nuts,17-17-17
33,56,43,21,0,19,Red,Cotton,28-28
31,64,42,42,0,3,Black,Millets,Urea
33,59,36,11,13,13,Loamy,Maize,17-17-17
30,59,48,13,0,38,Black,Oil seeds,DAP
28,63,39,11,13,15,Sandy,Cotton,17-17-17
29,66,40,24,0,27,Red,Millets,28-28
35,68,42,37,0,0,Clayey,Maize,Urea
28,60,39,13,14,12,Red,Barley,17-17-17
26,57,55,39,2,0,Red,Wheat,Urea
30,55,48,14,0,42,Sandy,Ground Nuts,DAP
31,57,35,7,8,33,Loamy,Pulses,14-35-14
30,55,42,10,15,14,Red,Cotton,17-17-17
37,63,35,14,0,37,Black,Millets,DAP
35,58,46,14,0,39,Black,Oil seeds,DAP
29,54,37,12,14,14,Sandy,Ground Nuts,17-17-17
28,62,39,12,9,26,Black,Maize,14-35-14
26,60,47,13,0,36,Sandy,Wheat,DAP
27,65,8,12,0,40,Red,Ground Nuts,DAP
24,57,41,10,0,10,Sandy,Pulses,20-20
32,63,50,8,19,19,Red,Pulses,10-26-26
28,60,63,13,1,9,Sandy,Oil seeds,20-20
29,59,34,11,13,13,Loamy,Cotton,17-17-17
27,61,68,11,11,14,Loamy,Sugarcane,17-17-17
31,48,27,40,0,0,Sandy,Millets,Urea
31,67,38,8,8,32,Sandy,Pulses,14-35-14
33,55,44,10,2,8,Black,Oil seeds,20-20
26,66,42,6,17,17,Red,Tobacco,10-26-26
30,44,28,10,18,22,Red,Barley,10-26-26
24,59,39,24,1,23,Sandy,Barley,28-28
25,53,35,10,0,11,Black,Pulses,20-20
29,57,59,8,10,28,Clayey,Wheat,14-35-14
27,56,47,11,16,14,Clayey,Wheat,10-26-26
30,57,43,13,0,37,Black,Cotton,DAP
32,68,41,23,0,28,Loamy,Cotton,28-28
32,70,31,12,18,15,Clayey,Pulses,10-26-26
32,64,55,11,8,27,Black,Cotton,14-35-14
